Date,Adjust. TOC,Adjust. TP,Adjust. Turb
11/19/2017,,,
11/20/2017,,,
11/21/2017,,,
11/22/2017,,,
11/23/2017,,,
11/24/2017,,,
11/25/2017,,,
11/26/2017,,,
11/27/2017,,,
11/28/2017,,,
11/29/2017,,,
11/30/2017,,,
12/1/2017,1.5,0,5.5
12/2/2017,,,
12/3/2017,,,
12/4/2017,,,
12/5/2017,,,
12/6/2017,,,
12/7/2017,,,
12/8/2017,,,
12/9/2017,,,
12/10/2017,,,
12/11/2017,,,
12/12/2017,,,
12/13/2017,,,
12/14/2017,,,
12/15/2017,,,
12/16/2017,,,
12/17/2017,,,
12/18/2017,,,
12/19/2017,,,
12/20/2017,,,
12/21/2017,,,
12/22/2017,,,
12/23/2017,,,
12/24/2017,,,
12/25/2017,,,
12/26/2017,,,
12/27/2017,,,
12/28/2017,,,
12/29/2017,,,
12/30/2017,,,
12/31/2017,,,
1/1/2018,2.7,0,0.63
1/2/2018,,,
1/3/2018,,,
1/4/2018,,,
1/5/2018,,,
1/6/2018,,,
1/7/2018,,,
1/8/2018,,,
1/9/2018,,,
1/10/2018,,,
1/11/2018,,,
1/12/2018,,,
1/13/2018,,,
1/14/2018,,,
1/15/2018,,,
1/16/2018,,,
1/17/2018,,,
1/18/2018,,,
1/19/2018,,,
1/20/2018,,,
1/21/2018,,,
1/22/2018,,,
1/23/2018,,,
1/24/2018,,,
1/25/2018,,,
1/26/2018,,,
1/27/2018,,,
1/28/2018,,,
1/29/2018,,,
1/30/2018,,,
1/31/2018,,,
2/1/2018,2.9,0.042889811,1.79
2/2/2018,,,
2/3/2018,,,
2/4/2018,,,
2/5/2018,,,
2/6/2018,,,
2/7/2018,,,
2/8/2018,,,
2/9/2018,,,
2/10/2018,,,
2/11/2018,,,
2/12/2018,,,
2/13/2018,,,
2/14/2018,,,
2/15/2018,,,
2/16/2018,,,
2/17/2018,,,
2/18/2018,,,
2/19/2018,,,
2/20/2018,,,
2/21/2018,,,
2/22/2018,,,
2/23/2018,,,
2/24/2018,,,
2/25/2018,,,
2/26/2018,,,
2/27/2018,,,
2/28/2018,,,
3/1/2018,1.6,0,8.5
3/2/2018,,,
3/3/2018,,,
3/4/2018,,,
3/5/2018,,,
3/6/2018,,,
3/7/2018,,,
3/8/2018,,,
3/9/2018,,,
3/10/2018,,,
3/11/2018,,,
3/12/2018,,,
3/13/2018,,,
3/14/2018,,,
3/15/2018,,,
3/16/2018,,,
3/17/2018,,,
3/18/2018,,,
3/19/2018,,,
3/20/2018,,,
3/21/2018,,,
3/22/2018,,,
3/23/2018,,,
3/24/2018,,,
3/25/2018,,,
3/26/2018,,,
3/27/2018,,,
3/28/2018,,,
3/29/2018,,,
3/30/2018,,,
3/31/2018,,,
4/1/2018,4.3,0.035213934,3.7
4/2/2018,,,
4/3/2018,,,
4/4/2018,,,
4/5/2018,,,
4/6/2018,,,
4/7/2018,,,
4/8/2018,,,
4/9/2018,,,
4/10/2018,,,
4/11/2018,,,
4/12/2018,,,
4/13/2018,,,
4/14/2018,,,
4/15/2018,,,
4/16/2018,,,
4/17/2018,,,
4/18/2018,,,
4/19/2018,,,
4/20/2018,,,
4/21/2018,,,
4/22/2018,,,
4/23/2018,,,
4/24/2018,,,
4/25/2018,,,
4/26/2018,,,
4/27/2018,,,
4/28/2018,,,
4/29/2018,,,
4/30/2018,,,
5/1/2018,6.3,0.019638653,1.2
5/2/2018,,,
5/3/2018,,,
5/4/2018,,,
5/5/2018,,,
5/6/2018,,,
5/7/2018,,,
5/8/2018,,,
5/9/2018,,,
5/10/2018,,,
5/11/2018,,,
5/12/2018,,,
5/13/2018,,,
5/14/2018,,,
5/15/2018,,,
5/16/2018,,,
5/17/2018,,,
5/18/2018,,,
5/19/2018,,,
5/20/2018,,,
5/21/2018,,,
5/22/2018,,,
5/23/2018,,,
5/24/2018,,,
5/25/2018,,,
5/26/2018,,,
5/27/2018,,,
5/28/2018,,,
5/29/2018,,,
5/30/2018,,,
5/31/2018,,,
6/1/2018,2.5,0.032388888,0.2
6/2/2018,,,
6/3/2018,,,
6/4/2018,,,
6/5/2018,,,
6/6/2018,,,
6/7/2018,,,
6/8/2018,,,
6/9/2018,,,
6/10/2018,,,
6/11/2018,,,
6/12/2018,,,
6/13/2018,,,
6/14/2018,,,
6/15/2018,,,
6/16/2018,,,
6/17/2018,,,
6/18/2018,,,
6/19/2018,,,
6/20/2018,,,
6/21/2018,,,
6/22/2018,,,
6/23/2018,,,
6/24/2018,,,
6/25/2018,,,
6/26/2018,,,
6/27/2018,,,
6/28/2018,,,
6/29/2018,,,
6/30/2018,,,
7/1/2018,4.2,0.038665748,0.2
7/2/2018,,,
7/3/2018,,,
7/4/2018,,,
7/5/2018,,,
7/6/2018,,,
7/7/2018,,,
7/8/2018,,,
7/9/2018,,,
7/10/2018,,,
7/11/2018,,,
7/12/2018,,,
7/13/2018,,,
7/14/2018,,,
7/15/2018,,,
7/16/2018,,,
7/17/2018,,,
7/18/2018,,,
7/19/2018,,,
7/20/2018,,,
7/21/2018,,,
7/22/2018,,,
7/23/2018,,,
7/24/2018,,,
7/25/2018,,,
7/26/2018,,,
7/27/2018,,,
7/28/2018,,,
7/29/2018,,,
7/30/2018,,,
7/31/2018,,,
8/1/2018,4.7,0.017934058,5.6
8/2/2018,,,
8/3/2018,,,
8/4/2018,,,
8/5/2018,,,
8/6/2018,,,
8/7/2018,,,
8/8/2018,,,
8/9/2018,,,
8/10/2018,,,
8/11/2018,,,
8/12/2018,,,
8/13/2018,,,
8/14/2018,,,
8/15/2018,,,
8/16/2018,,,
8/17/2018,,,
8/18/2018,,,
8/19/2018,,,
8/20/2018,,,
8/21/2018,,,
8/22/2018,,,
8/23/2018,,,
8/24/2018,,,
8/25/2018,,,
8/26/2018,,,
8/27/2018,,,
8/28/2018,,,
8/29/2018,,,
8/30/2018,,,
8/31/2018,,,
9/1/2018,6.2,0.03857581,0.2
9/2/2018,,,
9/3/2018,,,
9/4/2018,,,
9/5/2018,,,
9/6/2018,,,
9/7/2018,,,
9/8/2018,,,
9/9/2018,,,
9/10/2018,,,
9/11/2018,,,
9/12/2018,,,
9/13/2018,,,
9/14/2018,,,
9/15/2018,,,
9/16/2018,,,
9/17/2018,,,
9/18/2018,,,
9/19/2018,,,
9/20/2018,,,
9/21/2018,,,
9/22/2018,,,
9/23/2018,,,
9/24/2018,,,
9/25/2018,,,
9/26/2018,,,
9/27/2018,,,
9/28/2018,,,
9/29/2018,,,
9/30/2018,,,
10/1/2018,2.4,0.026470003,0.2
10/2/2018,,,
10/3/2018,,,
10/4/2018,,,
10/5/2018,,,
10/6/2018,,,
10/7/2018,,,
10/8/2018,,,
10/9/2018,,,
10/10/2018,,,
10/11/2018,,,
10/12/2018,,,
10/13/2018,,,
10/14/2018,,,
10/15/2018,,,
10/16/2018,,,
10/17/2018,,,
10/18/2018,,,
10/19/2018,,,
10/20/2018,,,
10/21/2018,,,
10/22/2018,,,
10/23/2018,,,
10/24/2018,,,
10/25/2018,,,
10/26/2018,,,
10/27/2018,,,
10/28/2018,,,
10/29/2018,,,
10/30/2018,,,
10/31/2018,,,
11/1/2018,3.2,0.027173201,0.47
11/2/2018,,,
11/3/2018,,,
11/4/2018,,,
11/5/2018,,,
11/6/2018,,,
11/7/2018,,,
11/8/2018,,,
11/9/2018,,,
11/10/2018,,,
11/11/2018,,,
11/12/2018,,,
11/13/2018,,,
11/14/2018,,,
11/15/2018,,,
11/16/2018,,,
11/17/2018,,,
11/18/2018,,,
11/19/2018,,,
11/20/2018,,,
11/21/2018,,,
11/22/2018,,,
11/23/2018,,,
11/24/2018,,,
11/25/2018,,,
11/26/2018,,,
11/27/2018,,,
11/28/2018,,,
11/29/2018,,,
11/30/2018,,,
12/1/2018,2.3,0.03377312,0.4
12/2/2018,,,
12/3/2018,,,
12/4/2018,,,
12/5/2018,,,
12/6/2018,,,
12/7/2018,,,
12/8/2018,,,
12/9/2018,,,
12/10/2018,,,
12/11/2018,,,
12/12/2018,,,
12/13/2018,,,
12/14/2018,,,
12/15/2018,,,
12/16/2018,,,
12/17/2018,,,
12/18/2018,,,
12/19/2018,,,
12/20/2018,,,
12/21/2018,,,
12/22/2018,,,
12/23/2018,,,
12/24/2018,,,
12/25/2018,,,
12/26/2018,,,
12/27/2018,,,
12/28/2018,,,
12/29/2018,,,
12/30/2018,,,
12/31/2018,,,
1/1/2019,3.1,0,0.2
1/2/2019,,,
1/3/2019,,,
1/4/2019,,,
1/5/2019,,,
1/6/2019,,,
1/7/2019,,,
1/8/2019,,,
1/9/2019,,,
1/10/2019,,,
1/11/2019,,,
1/12/2019,,,
1/13/2019,,,
1/14/2019,,,
1/15/2019,,,
1/16/2019,,,
1/17/2019,,,
1/18/2019,,,
1/19/2019,,,
1/20/2019,,,
1/21/2019,,,
1/22/2019,,,
1/23/2019,,,
1/24/2019,,,
1/25/2019,,,
1/26/2019,,,
1/27/2019,,,
1/28/2019,,,
1/29/2019,,,
1/30/2019,,,
1/31/2019,,,
2/1/2019,3.2,0.027948247,5
2/2/2019,,,
2/3/2019,,,
2/4/2019,,,
2/5/2019,,,
2/6/2019,,,
2/7/2019,,,
2/8/2019,,,
2/9/2019,,,
2/10/2019,,,
2/11/2019,,,
2/12/2019,,,
2/13/2019,,,
2/14/2019,,,
2/15/2019,,,
2/16/2019,,,
2/17/2019,,,
2/18/2019,,,
2/19/2019,,,
2/20/2019,,,
2/21/2019,,,
2/22/2019,,,
2/23/2019,,,
2/24/2019,,,
2/25/2019,,,
2/26/2019,,,
2/27/2019,,,
2/28/2019,,,
3/1/2019,2.9,0.028494479,2.7
3/2/2019,,,
3/3/2019,,,
3/4/2019,,,
3/5/2019,,,
3/6/2019,,,
3/7/2019,,,
3/8/2019,,,
3/9/2019,,,
3/10/2019,,,
3/11/2019,,,
3/12/2019,,,
3/13/2019,,,
3/14/2019,,,
3/15/2019,,,
3/16/2019,,,
3/17/2019,,,
3/18/2019,,,
3/19/2019,,,
3/20/2019,,,
3/21/2019,,,
3/22/2019,,,
3/23/2019,,,
3/24/2019,,,
3/25/2019,,,
3/26/2019,,,
3/27/2019,,,
3/28/2019,,,
3/29/2019,,,
3/30/2019,,,
3/31/2019,,,
4/1/2019,2.3,0.027736833,0.2
4/2/2019,,,
4/3/2019,,,
4/4/2019,,,
4/5/2019,,,
4/6/2019,,,
4/7/2019,,,
4/8/2019,,,
4/9/2019,,,
4/10/2019,,,
4/11/2019,,,
4/12/2019,,,
4/13/2019,,,
4/14/2019,,,
4/15/2019,,,
4/16/2019,,,
4/17/2019,,,
4/18/2019,,,
4/19/2019,,,
4/20/2019,,,
4/21/2019,,,
4/22/2019,,,
4/23/2019,,,
4/24/2019,,,
4/25/2019,,,
4/26/2019,,,
4/27/2019,,,
4/28/2019,,,
4/29/2019,,,
4/30/2019,,,
5/1/2019,4.4,0.023232571,0.2
5/2/2019,,,
5/3/2019,,,
5/4/2019,,,
5/5/2019,,,
5/6/2019,,,
5/7/2019,,,
5/8/2019,,,
5/9/2019,,,
5/10/2019,,,
5/11/2019,,,
5/12/2019,,,
5/13/2019,,,
5/14/2019,,,
5/15/2019,,,
5/16/2019,,,
5/17/2019,,,
5/18/2019,,,
5/19/2019,,,
5/20/2019,,,
5/21/2019,,,
5/22/2019,,,
5/23/2019,,,
5/24/2019,,,
5/25/2019,,,
5/26/2019,,,
5/27/2019,,,
5/28/2019,,,
5/29/2019,,,
5/30/2019,,,
5/31/2019,,,
6/1/2019,4.6,0.033652684,0.2
6/2/2019,,,
6/3/2019,,,
6/4/2019,,,
6/5/2019,,,
6/6/2019,,,
6/7/2019,,,
6/8/2019,,,
6/9/2019,,,
6/10/2019,,,
6/11/2019,,,
6/12/2019,,,
6/13/2019,,,
6/14/2019,,,
6/15/2019,,,
6/16/2019,,,
6/17/2019,,,
6/18/2019,,,
6/19/2019,,,
6/20/2019,,,
6/21/2019,,,
6/22/2019,,,
6/23/2019,,,
6/24/2019,,,
6/25/2019,,,
6/26/2019,,,
6/27/2019,,,
6/28/2019,,,
6/29/2019,,,
6/30/2019,,,
7/1/2019,4.5,0.021887831,0.2
7/2/2019,,,
7/3/2019,,,
7/4/2019,,,
7/5/2019,,,
7/6/2019,,,
7/7/2019,,,
7/8/2019,,,
7/9/2019,,,
7/10/2019,,,
7/11/2019,,,
7/12/2019,,,
7/13/2019,,,
7/14/2019,,,
7/15/2019,,,
7/16/2019,,,
7/17/2019,,,
7/18/2019,,,
7/19/2019,,,
7/20/2019,,,
7/21/2019,,,
7/22/2019,,,
7/23/2019,,,
7/24/2019,,,
7/25/2019,,,
7/26/2019,,,
7/27/2019,,,
7/28/2019,,,
7/29/2019,,,
7/30/2019,,,
7/31/2019,,,
8/1/2019,2.4,0.03653884,5.2
8/2/2019,,,
8/3/2019,,,
8/4/2019,,,
8/5/2019,,,
8/6/2019,,,
8/7/2019,,,
8/8/2019,,,
8/9/2019,,,
8/10/2019,,,
8/11/2019,,,
8/12/2019,,,
8/13/2019,,,
8/14/2019,,,
8/15/2019,,,
8/16/2019,,,
8/17/2019,,,
8/18/2019,,,
8/19/2019,,,
8/20/2019,,,
8/21/2019,,,
8/22/2019,,,
8/23/2019,,,
8/24/2019,,,
8/25/2019,,,
8/26/2019,,,
8/27/2019,,,
8/28/2019,,,
8/29/2019,,,
8/30/2019,,,
8/31/2019,,,
9/1/2019,3.6,0.070110403,1.7
9/2/2019,,,
9/3/2019,,,
9/4/2019,,,
9/5/2019,,,
9/6/2019,,,
9/7/2019,,,
9/8/2019,,,
9/9/2019,,,
9/10/2019,,,
9/11/2019,,,
9/12/2019,,,
9/13/2019,,,
9/14/2019,,,
9/15/2019,,,
9/16/2019,,,
9/17/2019,,,
9/18/2019,,,
9/19/2019,,,
9/20/2019,,,
9/21/2019,,,
9/22/2019,,,
9/23/2019,,,
9/24/2019,,,
9/25/2019,,,
9/26/2019,,,
9/27/2019,,,
9/28/2019,,,
9/29/2019,,,
9/30/2019,,,
10/1/2019,4.3,0,2.2
10/2/2019,,,
10/3/2019,,,
10/4/2019,,,
10/5/2019,,,
10/6/2019,,,
10/7/2019,,,
10/8/2019,,,
10/9/2019,,,
10/10/2019,,,
10/11/2019,,,
10/12/2019,,,
10/13/2019,,,
10/14/2019,,,
10/15/2019,,,
10/16/2019,,,
10/17/2019,,,
10/18/2019,,,
10/19/2019,,,
10/20/2019,,,
10/21/2019,,,
10/22/2019,,,
10/23/2019,,,
10/24/2019,,,
10/25/2019,,,
10/26/2019,,,
10/27/2019,,,
10/28/2019,,,
10/29/2019,,,
10/30/2019,,,
10/31/2019,,,
11/1/2019,1.9,0,1.83
11/2/2019,,,
11/3/2019,,,
11/4/2019,,,
11/5/2019,,,
11/6/2019,,,
11/7/2019,,,
11/8/2019,,,
11/9/2019,,,
11/10/2019,,,
11/11/2019,,,
11/12/2019,,,
11/13/2019,,,
11/14/2019,,,
11/15/2019,,,
11/16/2019,,,
11/17/2019,,,
11/18/2019,,,
11/19/2019,,,
11/20/2019,,,
11/21/2019,,,
11/22/2019,,,
11/23/2019,,,
11/24/2019,,,
11/25/2019,,,
11/26/2019,,,
11/27/2019,,,
11/28/2019,,,
11/29/2019,,,
11/30/2019,,,
12/1/2019,2.5,0,0.5
12/2/2019,,,
12/3/2019,,,
12/4/2019,,,
12/5/2019,,,
12/6/2019,,,
12/7/2019,,,
12/8/2019,,,
12/9/2019,,,
12/10/2019,,,
12/11/2019,,,
12/12/2019,,,
12/13/2019,,,
12/14/2019,,,
12/15/2019,,,
12/16/2019,,,
12/17/2019,,,
12/18/2019,,,
12/19/2019,,,
12/20/2019,,,
12/21/2019,,,
12/22/2019,,,
12/23/2019,,,
12/24/2019,,,
12/25/2019,,,
12/26/2019,,,
12/27/2019,,,
12/28/2019,,,
12/29/2019,,,
12/30/2019,,,
12/31/2019,,,
1/1/2020,3.1,0,0.63
1/2/2020,,,
1/3/2020,,,
1/4/2020,,,
1/5/2020,,,
1/6/2020,,,
1/7/2020,,,
1/8/2020,,,
1/9/2020,,,
1/10/2020,,,
1/11/2020,,,
1/12/2020,,,
1/13/2020,,,
1/14/2020,,,
1/15/2020,,,
1/16/2020,,,
1/17/2020,,,
1/18/2020,,,
1/19/2020,,,
1/20/2020,,,
1/21/2020,,,
1/22/2020,,,
1/23/2020,,,
1/24/2020,,,
1/25/2020,,,
1/26/2020,,,
1/27/2020,,,
1/28/2020,,,
1/29/2020,,,
1/30/2020,,,
1/31/2020,,,
2/1/2020,3.2,0.0156,0.79
2/2/2020,,,
2/3/2020,,,
2/4/2020,,,
2/5/2020,,,
2/6/2020,,,
2/7/2020,,,
2/8/2020,,,
2/9/2020,,,
2/10/2020,,,
2/11/2020,,,
2/12/2020,,,
2/13/2020,,,
2/14/2020,,,
2/15/2020,,,
2/16/2020,,,
2/17/2020,,,
2/18/2020,,,
2/19/2020,,,
2/20/2020,,,
2/21/2020,,,
2/22/2020,,,
2/23/2020,,,
2/24/2020,,,
2/25/2020,,,
2/26/2020,,,
2/27/2020,,,
2/28/2020,,,
2/29/2020,,,
3/1/2020,3.9,0.0168,3.5
3/2/2020,,,
3/3/2020,,,
3/4/2020,,,
3/5/2020,,,
3/6/2020,,,
3/7/2020,,,
3/8/2020,,,
3/9/2020,,,
3/10/2020,,,
3/11/2020,,,
3/12/2020,,,
3/13/2020,,,
3/14/2020,,,
3/15/2020,,,
3/16/2020,,,
3/17/2020,,,
3/18/2020,,,
3/19/2020,,,
3/20/2020,,,
3/21/2020,,,
3/22/2020,,,
3/23/2020,,,
3/24/2020,,,
3/25/2020,,,
3/26/2020,,,
3/27/2020,,,
3/28/2020,,,
3/29/2020,,,
3/30/2020,,,
3/31/2020,,,
4/1/2020,3.3,0.0204,1.7
4/2/2020,,,
4/3/2020,,,
4/4/2020,,,
4/5/2020,,,
4/6/2020,,,
4/7/2020,,,
4/8/2020,,,
4/9/2020,,,
4/10/2020,,,
4/11/2020,,,
4/12/2020,,,
4/13/2020,,,
4/14/2020,,,
4/15/2020,,,
4/16/2020,,,
4/17/2020,,,
4/18/2020,,,
4/19/2020,,,
4/20/2020,,,
4/21/2020,,,
4/22/2020,,,
4/23/2020,,,
4/24/2020,,,
4/25/2020,,,
4/26/2020,,,
4/27/2020,,,
4/28/2020,,,
4/29/2020,,,
4/30/2020,,,
5/1/2020,3.4,0.0168,2.2
5/2/2020,,,
5/3/2020,,,
5/4/2020,,,
5/5/2020,,,
5/6/2020,,,
5/7/2020,,,
5/8/2020,,,
5/9/2020,,,
5/10/2020,,,
5/11/2020,,,
5/12/2020,,,
5/13/2020,,,
5/14/2020,,,
5/15/2020,,,
5/16/2020,,,
5/17/2020,,,
5/18/2020,,,
5/19/2020,,,
5/20/2020,,,
5/21/2020,,,
5/22/2020,,,
5/23/2020,,,
5/24/2020,,,
5/25/2020,,,
5/26/2020,,,
5/27/2020,,,
5/28/2020,,,
5/29/2020,,,
5/30/2020,,,
5/31/2020,,,
6/1/2020,3.6,0.0228,0.91
6/2/2020,,,
6/3/2020,,,
6/4/2020,,,
6/5/2020,,,
6/6/2020,,,
6/7/2020,,,
6/8/2020,,,
6/9/2020,,,
6/10/2020,,,
6/11/2020,,,
6/12/2020,,,
6/13/2020,,,
6/14/2020,,,
6/15/2020,,,
6/16/2020,,,
6/17/2020,,,
6/18/2020,,,
6/19/2020,,,
6/20/2020,,,
6/21/2020,,,
6/22/2020,,,
6/23/2020,,,
6/24/2020,,,
6/25/2020,,,
6/26/2020,,,
6/27/2020,,,
6/28/2020,,,
6/29/2020,,,
6/30/2020,,,
7/1/2020,3.5,0.012,0.99
7/2/2020,,,
7/3/2020,,,
7/4/2020,,,
7/5/2020,,,
7/6/2020,,,
7/7/2020,,,
7/8/2020,,,
7/9/2020,,,
7/10/2020,,,
7/11/2020,,,
7/12/2020,,,
7/13/2020,,,
7/14/2020,,,
7/15/2020,,,
7/16/2020,,,
7/17/2020,,,
7/18/2020,,,
7/19/2020,,,
7/20/2020,,,
7/21/2020,,,
7/22/2020,,,
7/23/2020,,,
7/24/2020,,,
7/25/2020,,,
7/26/2020,,,
7/27/2020,,,
7/28/2020,,,
7/29/2020,,,
7/30/2020,,,
7/31/2020,,,
8/1/2020,3.4,0.0216,2.6
8/2/2020,,,
8/3/2020,,,
8/4/2020,,,
8/5/2020,,,
8/6/2020,,,
8/7/2020,,,
8/8/2020,,,
8/9/2020,,,
8/10/2020,,,
8/11/2020,,,
8/12/2020,,,
8/13/2020,,,
8/14/2020,,,
8/15/2020,,,
8/16/2020,,,
8/17/2020,,,
8/18/2020,,,
8/19/2020,,,
8/20/2020,,,
8/21/2020,,,
8/22/2020,,,
8/23/2020,,,
8/24/2020,,,
8/25/2020,,,
8/26/2020,,,
8/27/2020,,,
8/28/2020,,,
8/29/2020,,,
8/30/2020,,,
8/31/2020,,,
9/1/2020,3.6,0.0432,1.7
9/2/2020,,,
9/3/2020,,,
9/4/2020,,,
9/5/2020,,,
9/6/2020,,,
9/7/2020,,,
9/8/2020,,,
9/9/2020,,,
9/10/2020,,,
9/11/2020,,,
9/12/2020,,,
9/13/2020,,,
9/14/2020,,,
9/15/2020,,,
9/16/2020,,,
9/17/2020,,,
9/18/2020,,,
9/19/2020,,,
9/20/2020,,,
9/21/2020,,,
9/22/2020,,,
9/23/2020,,,
9/24/2020,,,
9/25/2020,,,
9/26/2020,,,
9/27/2020,,,
9/28/2020,,,
9/29/2020,,,
9/30/2020,,,
10/1/2020,3.3,0,0.79
10/2/2020,,,
10/3/2020,,,
10/4/2020,,,
10/5/2020,,,
10/6/2020,,,
10/7/2020,,,
10/8/2020,,,
10/9/2020,,,
10/10/2020,,,
10/11/2020,,,
10/12/2020,,,
10/13/2020,,,
10/14/2020,,,
10/15/2020,,,
10/16/2020,,,
10/17/2020,,,
10/18/2020,,,
10/19/2020,,,
10/20/2020,,,
10/21/2020,,,
10/22/2020,,,
10/23/2020,,,
10/24/2020,,,
10/25/2020,,,
10/26/2020,,,
10/27/2020,,,
10/28/2020,,,
10/29/2020,,,
10/30/2020,,,
10/31/2020,,,
11/1/2020,2.9,0,0.47
11/2/2020,,,
11/3/2020,,,
11/4/2020,,,
11/5/2020,,,
11/6/2020,,,
11/7/2020,,,
11/8/2020,,,
11/9/2020,,,
11/10/2020,,,
11/11/2020,,,
11/12/2020,,,
11/13/2020,,,
11/14/2020,,,
11/15/2020,,,
11/16/2020,,,
11/17/2020,,,
11/18/2020,,,
11/19/2020,,,
11/20/2020,,,
11/21/2020,,,
11/22/2020,,,
11/23/2020,,,
11/24/2020,,,
11/25/2020,,,
11/26/2020,,,
11/27/2020,,,
11/28/2020,,,
11/29/2020,,,
11/30/2020,,,
12/1/2020,2.5,0,0.4
12/2/2020,,,
12/3/2020,,,
12/4/2020,,,
12/5/2020,,,
12/6/2020,,,
12/7/2020,,,
12/8/2020,,,
12/9/2020,,,
12/10/2020,,,
12/11/2020,,,
12/12/2020,,,
12/13/2020,,,
12/14/2020,,,
12/15/2020,,,
12/16/2020,,,
12/17/2020,,,
12/18/2020,,,
12/19/2020,,,
12/20/2020,,,
12/21/2020,,,
12/22/2020,,,
12/23/2020,,,
12/24/2020,,,
12/25/2020,,,
12/26/2020,,,
12/27/2020,,,
12/28/2020,,,
12/29/2020,,,
12/30/2020,,,
12/31/2020,,,
1/1/2021,2.7,0,0.7
1/2/2021,2.7,,
1/3/2021,2.7,,
1/4/2021,2.7,,
1/5/2021,2.7,,
1/6/2021,2.7,,
1/7/2021,2.7,,
1/8/2021,2.7,,
1/9/2021,2.7,,
1/10/2021,2.7,,
1/11/2021,2.7,,
1/12/2021,2.7,,
1/13/2021,2.7,,
1/14/2021,2.7,,
1/15/2021,2.7,,
1/16/2021,2.7,,
1/17/2021,2.7,,
1/18/2021,2.7,,
1/19/2021,2.7,,
1/20/2021,2.7,,
1/21/2021,2.7,,
1/22/2021,2.7,,
1/23/2021,2.7,,
1/24/2021,2.7,,
1/25/2021,2.7,,
1/26/2021,2.7,,
1/27/2021,2.7,,
1/28/2021,2.7,,
1/29/2021,2.7,,
1/30/2021,2.7,,
1/31/2021,2.7,,
2/1/2021,2.9,0.0264,2
2/2/2021,2.84,,
2/3/2021,2.78,,
2/4/2021,2.72,,
2/5/2021,2.66,,
2/6/2021,2.61,,
2/7/2021,2.55,,
2/8/2021,2.5,,
2/9/2021,2.45,,
2/10/2021,2.4,,
2/11/2021,2.35,,
2/12/2021,2.3,,
2/13/2021,2.25,,
2/14/2021,2.2,,
2/15/2021,2.15,,
2/16/2021,2.11,,
2/17/2021,2.06,,
2/18/2021,2.02,,
2/19/2021,1.98,,
2/20/2021,1.94,,
2/21/2021,1.9,,
2/22/2021,1.86,,
2/23/2021,1.82,,
2/24/2021,1.78,,
2/25/2021,1.74,,
2/26/2021,1.71,,
2/27/2021,1.67,,
2/28/2021,1.63,,
3/1/2021,1.6,0,1.7
3/2/2021,1.64,,
3/3/2021,1.68,,
3/4/2021,1.72,,
3/5/2021,1.76,,
3/6/2021,1.8,,
3/7/2021,1.84,,
3/8/2021,1.88,,
3/9/2021,1.93,,
3/10/2021,1.97,,
3/11/2021,2.02,,
3/12/2021,2.07,,
3/13/2021,2.12,,
3/14/2021,2.17,,
3/15/2021,2.22,,
3/16/2021,2.27,,
3/17/2021,2.32,,
3/18/2021,2.38,,
3/19/2021,2.44,,
3/20/2021,2.49,,
3/21/2021,2.55,,
3/22/2021,2.61,,
3/23/2021,2.67,,
3/24/2021,2.74,,
3/25/2021,2.8,,
3/26/2021,2.87,,
3/27/2021,2.94,,
3/28/2021,3.01,,
3/29/2021,3.08,,
3/30/2021,3.15,,
3/31/2021,3.22,,
4/1/2021,3.3,0.0204,2.6
4/2/2021,3.33,,
4/3/2021,3.36,,
4/4/2021,3.39,,
4/5/2021,3.42,,
4/6/2021,3.45,,
4/7/2021,3.48,,
4/8/2021,3.51,,
4/9/2021,3.54,,
4/10/2021,3.57,,
4/11/2021,3.6,,
4/12/2021,3.64,,
4/13/2021,3.67,,
4/14/2021,3.7,,
4/15/2021,3.73,,
4/16/2021,3.77,,
4/17/2021,3.8,,
4/18/2021,3.83,,
4/19/2021,3.87,,
4/20/2021,3.9,,
4/21/2021,3.94,,
4/22/2021,3.97,,
4/23/2021,4.01,,
4/24/2021,4.04,,
4/25/2021,4.08,,
4/26/2021,4.11,,
4/27/2021,4.15,,
4/28/2021,4.19,,
4/29/2021,4.22,,
4/30/2021,4.26,,
5/1/2021,4.3,0.0192,8
5/2/2021,4.27,,
5/3/2021,4.24,,
5/4/2021,4.22,,
5/5/2021,4.19,,
5/6/2021,4.16,,
5/7/2021,4.13,,
5/8/2021,4.1,,
5/9/2021,4.08,,
5/10/2021,4.05,,
5/11/2021,4.02,,
5/12/2021,4,,
5/13/2021,3.97,,
5/14/2021,3.94,,
5/15/2021,3.92,,
5/16/2021,3.89,,
5/17/2021,3.87,,
5/18/2021,3.84,,
5/19/2021,3.82,,
5/20/2021,3.79,,
5/21/2021,3.77,,
5/22/2021,3.74,,
5/23/2021,3.72,,
5/24/2021,3.69,,
5/25/2021,3.67,,
5/26/2021,3.64,,
5/27/2021,3.62,,
5/28/2021,3.59,,
5/29/2021,3.57,,
5/30/2021,3.55,,
5/31/2021,3.52,,
6/1/2021,3.5,0.0192,1.7
6/2/2021,3.49,,
6/3/2021,3.48,,
6/4/2021,3.47,,
6/5/2021,3.46,,
6/6/2021,3.45,,
6/7/2021,3.44,,
6/8/2021,3.43,,
6/9/2021,3.42,,
6/10/2021,3.41,,
6/11/2021,3.4,,
6/12/2021,3.39,,
6/13/2021,3.38,,
6/14/2021,3.37,,
6/15/2021,3.36,,
6/16/2021,3.35,,
6/17/2021,3.34,,
6/18/2021,3.33,,
